"id","legacyId","firstName","lastName","department","avgRating","avgDifficulty","numRatings","wouldTakeAgainPercent","ratings_r1","ratings_r2","ratings_r3","ratings_r4","ratings_r5","ratings_total","attendance_yes","attendance_no","attendance_neither","credit_yes","credit_no","credit_neither","tag_1_name","tag_1_count","tag_2_name","tag_2_count","tag_3_name","tag_3_count","tag_4_name","tag_4_count","tag_5_name","tag_5_count"
"VGVhY2hlci04NTc1NjE=","857561","Edmond","Chang","History","3.9","3.3","282","66.1836","24","19","35","76","128","282","75","0","90","245","3","60","Get ready to read","180","Amazing lectures ","79","Lots of homework","43","Inspirational","34","Respected","34"
"VGVhY2hlci0yMTYzMzA5","2163309","David","Quarfoot","Mathematics","3.6","3.6","180","63.6872","31","18","19","27","84","179","44","0","12","196","8","0","Lots of homework","90","Amazing lectures ","53","Hilarious","38","Test heavy","37","Tough grader","32"
"VGVhY2hlci0yODczNTQ3","2873547","Jor-El","Briones","Computer Science","2.4","3.9","177","33.8983","100","10","12","8","47","177","55","0","16","192","15","0","Tough grader","95","Test heavy","84","Beware of pop quizzes","43","Graded by few things","41","Lots of homework","34"
"VGVhY2hlci0yOTM0OTgz","2934983","Gaojin","He","Mathematics","1.5","4.6","127","10.2362","102","10","2","4","9","127","16","0","21","142","24","0","Test heavy","67","Tough grader","66","Lecture heavy","46","Lots of homework","22","Graded by few things","22"
"VGVhY2hlci0xOTAyOTQ2","1902946","Cathleen","Moran","Management","2.5","3.7","76","26.3889","34","10","8","7","17","76","77","0","3","82","7","0","Participation matters","44","Tough grader","36","Lots of homework","21","Get ready to read","18","So many papers","11"
"VGVhY2hlci00OTI5MDk=","492909","Christine","Harris","Psychology","3.1","3.2","60","42.3077","18","6","4","9","23","60","3","0","36","33","0","30","Get ready to read","11","Test heavy","10","Graded by few things","10","Tough grader","9","Lecture heavy","7"
"VGVhY2hlci0xODM4ODYz","1838863","Amanda","Solomon","Humanities","3.7","2.3","53","73.0769","11","5","0","9","28","53","58","0","3","68","1","0","Get ready to read","24","Amazing lectures ","13","Lecture heavy","9","Participation matters","8","Lots of homework","8"
"VGVhY2hlci0yOTE4MDcw","2918070","Ko","Ohm","Mathematics","3.8","3.4","35","74.2857","0","8","3","13","11","35","1","0","0","34","1","0","Clear grading criteria","12","Test heavy","10","Amazing lectures ","8","Caring","8","Lots of homework","7"
"VGVhY2hlci0yNzczMDMw","2773030","France","Nguyen-Grozavu","Public Health","1.9","4.3","18","16.6667","12","2","0","1","3","18","17","0","1","18","0","0","Tough grader","11","Group projects","8","Lots of homework","6","Participation matters","4","So many papers","4"
"VGVhY2hlci0yOTY2Mjky","2966292","Joshua","Frisch","Mathematics","3.8","4.1","16","75","4","0","1","1","10","16","0","0","0","15","1","0","Lots of homework","6","Accessible outside class","5","Caring","4","Get ready to read","3","EXTRA CREDIT","3"
"VGVhY2hlci0yNDk0NDc0","2494474","Taylor","Berg-Kirkpatrick","Computer Science","3.6","3.1","14","64.2857","4","0","1","2","7","14","0","0","1","15","1","0","Caring","7","Clear grading criteria","5","Graded by few things","4","Amazing lectures ","3","Inspirational","3"
"VGVhY2hlci0zMDc1Mjc5","3075279","Robert","Webber","Mathematics","2.8","4.4","10","33.3333","4","2","0","0","3","9","2","0","0","10","1","0","Lecture heavy","5","Test heavy","5","Amazing lectures ","3","Lots of homework","3","Hilarious","3"
"VGVhY2hlci0zMDc1MjI0","3075224","Matthew","Crum","Humanities","4.5","2.5","8","87.5","0","1","0","1","6","8","2","0","0","8","0","0","Get ready to read","5","Amazing lectures ","3","Participation matters","2","EXTRA CREDIT","2","Inspirational","2"
"VGVhY2hlci0zMDUwNTky","3050592","Jeremy","Hyrkas","Music","5","1","2","100","0","0","0","0","2","2","1","0","0","2","0","0","Amazing lectures ","2","Clear grading criteria","1","Caring","1","Accessible outside class","1","",""
"VGVhY2hlci0zMDE4NjA4","3018608","Gene","Tan","Public Health","2","5","1","0","0","1","0","0","0","1","1","0","0","1","0","0","Test heavy","1","","","","","","","",""
